EPBC Number,Stem,Url,Under Review,Scraped
2012/6262,?id=48003852-2653-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=48003852-2653-ec11-80cf-00505684c137,True,2023/03/18
2012/6378,?id=5395f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5395f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2014/7382,?id=13898e2d-2353-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=13898e2d-2353-ec11-80cf-00505684c137,True,2023/03/18
2014/7143,?id=848d2bfc-2153-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=848d2bfc-2153-ec11-80cf-00505684c137,True,2023/03/18
2010/5304,?id=06dc23de-2353-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=06dc23de-2353-ec11-80cf-00505684c137,True,2023/03/18
2006/3190,?id=c493f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c493f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2006/2504,?id=0476c856-17de-eb11-80c9-00505684c563,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0476c856-17de-eb11-80c9-00505684c563,True,2023/03/18
2010/5347,?id=fc91f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fc91f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2014/7206,?id=d808f383-5a52-ec11-80d2-00505684c563,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d808f383-5a52-ec11-80d2-00505684c563,True,2023/03/18
2014/7141,?id=a394f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a394f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2012/6372,?id=8cef8d78-2753-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8cef8d78-2753-ec11-80cf-00505684c137,True,2023/03/18
2013/7002,?id=3a1fe34e-2053-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3a1fe34e-2053-ec11-80cf-00505684c137,True,2023/03/18
2013/6989,?id=ae866719-2053-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ae866719-2053-ec11-80cf-00505684c137,True,2023/03/18
2014/7203,?id=78112a5b-5752-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=78112a5b-5752-ec11-80cf-00505684c137,True,2023/03/18
2012/6377,?id=65e6c4a5-2753-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=65e6c4a5-2753-ec11-80cf-00505684c137,True,2023/03/18
2009/5243,?id=c891f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c891f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
