EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2020/8732,"Wellard Village Primary School development, part Lot 9074 Lambeth Circle, Wellard",Under review,2021-11-10,2047-12-30,Western Australian Department of Education,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=261b7b03-f366-ed11-9561-00224818a6aa,2023-03-01
2020/8732,"Wellard Village Primary School development, part Lot 9074 Lambeth Circle, Wellard",Under review,2021-11-10,2047-12-30,Western Australian Department of Education,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=261b7b03-f366-ed11-9561-00224818a6aa,2023-03-01
2020/8732,"Wellard Village Primary School development, part Lot 9074 Lambeth Circle, Wellard",Under review,2021-11-10,2047-12-30,Western Australian Department of Education,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=261b7b03-f366-ed11-9561-00224818a6aa,2023-03-01
2017/8035,"Great Northern Highway-Bindoon Bypass, WA",Under review,2021-10-13,2041-10-30,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=25544314-3869-ed11-81ac-00224818aa41,2023-03-01
2020/8828,Kellyville Precinct,Under review,2021-10-12,2040-12-31,Landcom,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1d2cb1ab-ec66-ed11-9561-00224818a6aa,2023-03-01
2013/7026,"Uungula Wind Farm, Goolma, NSW",Under review,2021-08-02,2059-12-31,UUNGULA WIND FARM PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a83c77f5-375d-ec11-80d2-00505684c563,2023-03-01
2019/8529,Tonkin Highway Grade Separated Interchanges,Under review,2021-07-13,2056-07-31,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=668ccd6e-f966-ed11-9561-00224818a6aa,2023-03-01
2020/8800,Bussell Highway Duplication Hutton to Sabina,Under review,2021-06-29,2056-07-31,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=043125e1-2506-ec11-80c8-00505684c137,2023-03-01
2019/8563,Gippsland Rail Line Upgrade - Pakenham to Longwarry East,Under review,2021-06-24,2041-06-29,DEPARTMENT OF TRANSPORT,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=dca13633-e166-ed11-9561-00224818a727,2023-03-01
2019/8530,Holcim Colac Quarry Expansion- Stage 5 and Stage 6,Under review,2021-06-08,2046-06-29,HOLCIM (AUSTRALIA) PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a480daf6-e566-ed11-9561-00224818a727,2023-03-01
2020/8687,"Sydney Metro, Western Sydney Airport - St Marys to Elizabeth Drive",Under review,2021-06-02,2100-12-30,Sydney Metro,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=88982f68-3553-ec11-80cf-00505684c137,2023-03-01
2018/8286,"M12 Motorway Project, Luddenham, NSW",Under review,2021-06-02,2100-12-30,Transport for NSW,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0157f94b-7252-ec11-80d2-00505684c563,2023-03-01
2020/8637,Callala Bay Residential Development,Under review,2021-05-31,2041-04-29,Sealark Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e65ff19e-7752-ec11-80cf-00505684c137,2023-03-01
2020/8837,Rye Park Wind Farm,Under review,2021-05-31,2055-05-31,Rye Park Renewable Energy Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3b6550a2-3553-ec11-80cf-00505684c137,2023-03-01
2018/8290,"Service centre, 6 Honeman Close, Huntingwood, NSW",Under review,2021-05-31,2041-05-31,Microsoft Datacenter (Australia) Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=16331563-7252-ec11-80d2-00505684c563,2023-03-01
2020/8803,Beerburrum to Nambour Rail Upgrade Project the B2N Project,Under review,2022-02-24,2052-02-26,Department of Transport and Main Roads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f3d64ff0-ec66-ed11-9561-00224818a6aa,2023-03-01
2020/8759,Overhead Transmission Line – MacIntyre Wind Energy Precinct,Under review,2022-02-21,2067-12-30,ACCIONA ENERGY AUSTRALIA GLOBAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=885ff91c-e966-ed11-9561-00224818a6aa,2023-03-01
2020/8756,MacIntyre Wind Farm Project,Under review,2022-02-21,2067-12-30,ACCIONA ENERGY AUSTRALIA GLOBAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6ce209a8-e966-ed11-9561-00224818a6aa,2023-03-01
2021/9010,"Lot 102, Prestons – Industrial Warehouse Space",Under review,2022-02-20,2032-02-24,MAKO MINERALS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6319e2be-d966-ed11-9561-00224818a6aa,2023-03-01
2019/8468,"SA-NSW Energy Interconnector, Robertstown to NSW Border, SA",Under review,2022-02-20,2122-02-27,ELECTRANET PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0a64e1ed-f966-ed11-9561-00224818a6aa,2023-03-01
2020/8764,"Byford Rail Extension, Byford, WA",Under review,2022-02-06,2055-12-31,The Public Transport Authority of Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e5ff73ae-e866-ed11-9561-00224818a6aa,2023-03-01
2021/8883,Lot 20 and 42 Marriot Road Commercial Development,Under review,2022-02-02,2062-02-02,Western Australian Land Authority trading as DevelopmentWA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=13818e21-ea66-ed11-9561-00224818a6aa,2023-03-01
2018/8236,"Mardie Project, 80 km south west of Karratha, WA",Under review,2022-01-11,2084-11-23,MARDIE MINERALS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=44c4783c-4469-ed11-81ac-00224818abd2,2023-03-01
2018/8236,"Mardie Project, 80 km south west of Karratha, WA",Under review,2022-01-11,2084-11-23,MARDIE MINERALS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=44c4783c-4469-ed11-81ac-00224818abd2,2023-03-01
2020/8727,Wambo Wind Farm,Under review,2021-12-20,2060-12-30,Luke Mcdonald,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=92d7954d-f366-ed11-9561-00224818a6aa,2023-03-01
2021/8958,"Goyder South Hybrid Renewable Energy Facility - Wind Farm 1A, 10km south Burra",Under review,2022-07-04,2057-12-30,Goyder Wind Farm 1 Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b77b5511-da66-ed11-9561-00224818a727,2023-03-01
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-29,2077-07-21,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-03-01
